躍起|やっき　desperation; eagerness　彼はもっと証拠がないかとやっきになって捜している。 He is in desperate search of further evidence.
相打ち|あいうち simultaneously striking one another draw; tie その戦いは相打ちとなり、両国とも大きな損害を受けた The battle ended in a mutual strike, and both countries suffered significant losses.
相撃ち|あいうち simultaneously striking one another draw; tie その戦いは相打ちとなり、両国とも大きな損害を受けた The battle ended in a mutual strike, and both countries suffered significant losses.
相討ち|あいうち simultaneously striking one another draw; tie その戦いは相打ちとなり、両国とも大きな損害を受けた The battle ended in a mutual strike, and both countries suffered significant losses.
小賢しい|こざかしい　clever and (pretentious; impertinent; insolent) 彼は小賢しい手口で試験に合格したが、本当の知識は身についていない。 He passed the exam using cunning tricks, but he hasn't truly learned the material.
手口|てぐち trick for deceiving その詐欺師は巧妙な手口で多くの人からお金を騙し取った。he con artist swindled money from many people using a clever scheme.
巧妙|こうみょう ingenious; skillful; clever; deft やつの巧妙な話に僕は簡単にだまされてしまった。 I was easily taken in by his smooth talk
持ち込む|みちこむ　to lodge; to take something into ...; to bring in　戦後多くの外国の風習が日本に持ち込まれた。 Many foreign customs were introduced into Japan after the war.
風習|ふうしゅう custom　coutumes 彼女は賢明にもそこの、風習に従った。 She had the wisdom to follow the custom.
賢明|けんめい　wisdom; intelligence; prudence 賢明な選択をすることが、将来の成功への鍵です。 Making wise choices is the key to future success.
良心的|りょうしんてき conscientious, ethical, fair 彼は常に良心的な価格で商品を提供している。 He always offers his products at fair prices.
攻め立てる|せめたてる to make an incessant onslaught; to attack incessantly 敵軍が私たちの陣地を攻め立ててきた。 The enemy forces have been relentlessly attacking our position.
陣地|じんち (military) encampment; position 兵士たちは敵の陣地へ向かって進んでいた。 The soldiers were making for the enemy camp.
バテる|強る  "to become exhausted" or "to wear out," どっちが先にバテるかだ It's about who gets tired first
幾度| いくど (how) many times; (how) often 幾度となく挑戦して、ついに成功した。After trying countless times, he finally succeeded.
幾たび|いくたび 幾たびの失敗の後で、彼はついにその問題を解決した。After many failures, he finally solved the problem.
咬む|かむ　mordre
噛む|かむ　mordre
改革者|かいかくしゃ　reformer 彼は教育分野の改革者として知られている。 He is known as a reformer in the field of education.
分野|ぶんや field; sphere; realm; division; branch 彼は教育分野の改革者として知られている。 He is known as a reformer in the field of education.
心臓|しんぞう Cœur
肝臓| かんぞう Foie liver
腎臓| じんぞう Reins Kidneys
膵臓|すいぞう Pancréas Pancreas 
膀胱|ぼうこう Vessie Bladder 
脾臓|ひぞう Rate organe, souvent méconnu, joue un rôle de réservoir, de filtre ou de centre d'entraînement pour les différentes cellules du sang
胆のう|たんのう Vésicule biliaire Gallbladder produit la bile
食道| しょくどう Esophagus Œsophage
甲状腺|こうじょうせん Thyroïde Thyroid 
副腎|ふくじん  Glandes surrénales Adrenal glands
虫垂| ちゅうすい Appendix  Appendice cet organe contient des cellules immunitaires utiles pour la coordination de la réponse intestinale aux attaques de microorganismes pathogènes
骨髄|こつずい Moelle osseuse Bone marrow 
リンパ節|りんぱせつ Ganglions lymphatiques Lymph nodes
扁桃腺|へんとうせん Amygdales Tonsils  piéger les bactéries et les virus pouvant entrer dans l'organisme par la gorge
膵管|すいかん  Canal pancréatique
胸腺|きょうせん Thymus Le thymus est un organe important du système immunitaire, siège de la maturation des lymphocytes dits T
下垂体|かすいたい Glande pituitaire
角膜| かくまく Cornée
網膜|もうまく Rétine
視床下部|ししょうかぶ Hypothalamus
