渓谷|けいこ valley; ravine; canyon 美しい渓谷をハイキングしました
愛情|あいじょう たいせつに思う気持ち。 好きだと思う気持ち。
愛好|あいこう love; adoration; fondness 彼は音楽の愛好者です  He is a music enthusiast.
親愛|しんあい deep affection; dear; beloved 親愛なる友へ、あなたの支えに感謝します。 Dear friend, I appreciate your support.
愛着|あいちゃく  attachment; love; covetous affection 彼はその古い家に強い愛着を持っている。 He has a strong attachment to that old house.
思案|しあん thought; consideration; meditation; ponder 彼は新しい計画について深く思案している。He is deeply considering the new plan.
案外|あんがい unexpectedly この仕事は案外簡単だった。  This job was unexpectedly easy.
案の定|あんのじょう just as one thought; as usual 案の定、彼はまた遅刻した。 Just as expected, he was late again.
発案|はつあん idea; suggestion; initiation of a proposal 彼の発案で新しいプロジェクトが始まった。A new project started based on his proposal.
草案|そうあん draft; draught この報告書の草案を見てください。Please take a look at the draft of this report.
以来|いらい since; henceforth 彼が日本に来て以来、ずっと日本語を勉強している。He has been studying Japanese ever since he came to Japan.
以北|いほく north of; and northward 東京以北の地域は冬になると雪が多い。The regions north of Tokyo get a lot of snow in winter.
衣服|いふく　clothes 新しい衣服を買いに行きました。I went to buy new clothing.
衣料品|いりょうひん clothing goods この店は高品質の衣料品を取り扱っています。This store deals in high-quality clothing items.
白衣|はくい  white robe; (doctor's) white gown 医者は白衣を着て患者を診察します。Doctors wear white coats when examining patients.
着衣|ちゃくい  one's clothes 事故の時、彼は着衣のまま海に飛び込んだ At the time of the accident, he jumped into the sea with his clothes on.
更衣室|こういしつ locker room; changing room; dressing room プールには更衣室があります。There is a changing room at the pool.
衣食住|いしょくじゅう necessities of life (food, clothing & shelter) 衣食住が揃っていれば、人は幸せに暮らせる。 If one has clothing, food, and shelter, they can live happily.
衣替え|ころもがえ seasonal change of clothing; changing (one's) dress for the season; renovation; facelift; changing appearance 春になると、衣替えをして冬物の服をしまいます。When spring comes, we switch out our clothes and put away the winter items.
外観|がいかん appearance; exterior; facade この建物の外観はとても美しいです。The exterior of this building is very beautiful.
美観|びかん fine view; beautiful sight この庭園は美観で有名です。This garden is famous for its scenic beauty.
庭園|ていえん garden; park この庭園は美観で有名です。This garden is famous for its scenic beauty.
価値観|かちかん sense of values; values 彼らは異なる価値観を持っているが、お互いを尊重している。They have different values, but they respect each other.
願書|がんしょ written application or petition; application form 大学の願書を提出しました。I submitted my university application form.
願望|がんぼう, がんもう desire; wish; aspiration 彼の一番の願望は世界を旅することです。His greatest desire is to travel the world.
念願|ねんがん one's heart's desire; earnest petition 彼は念願の夢を叶えて、作家になった。 He fulfilled his long-cherished dream and became a writer.
悲願|ひがん one's dearest wish; Buddha's vow to save humanity 彼の悲願は、平和な世界を実現することです。His earnest desire is to achieve a peaceful world.
切願|せつがん earnest request; supplication 彼女の切願は家族の健康と幸せです。 Her earnest wish is for her family's health and happiness.
志願|しがん aspiration; volunteering; desire; application 彼は軍隊に志願した。He volunteered for the military.
祈願|きがん prayer; supplication 家族の健康を祈願して神社に行きました。 I went to the shrine to pray for my family's health.
奇妙|きみょう strange; queer; curious その奇妙な音はどこから来るのだろう。I wonder where that strange sound is coming from.
微妙|びみょう delicate; subtle; sensitive; difficult; delicate (situation); complicated; doubtful; questionable; dicey その絵の色使いがとても微妙です。 The use of colors in that painting is very subtle.
巧み|たくみ　skill; cleverness　彼は巧みな話術で観客を魅了した。He captivated the audience with his skillful storytelling.
精巧|せいこう　elaborate; delicate; exquisite　この精巧な模型は本物の建物のように見える。This intricate model looks like a real building.
魅了|みりょう　fascination　to charm; to fascinate; to mesmerize　彼は巧みな話術で観客を魅了した。He captivated the audience with his skillful storytelling.
模型|もけい　model; dummy; maquette　この精巧な模型は本物の建物のように見える。This intricate model looks like a real building.
模様|もよう　pattern; figure; design　このカーテンには美しい花の模様があります。These curtains have a beautiful floral pattern.
模試|もし　mock examination; trial examination　模試の結果が思ったより良かった。The results of the mock exam were better than I expected.
模索|もさく　groping (for); exploring for a solution彼は新しい方法を模索している　 He is exploring new methods.
規模|きぼ　scale; scope; plan; structure　その会社は大規模なプロジェクトを開始した。The company started a large-scale project.
索引|さくいん　index; indices; indexes　本の索引を使って必要な情報を探しました　I used the index of the book to find the necessary information.
捜索|そうさく　search (esp. for someone or something missing); investigation　警察は行方不明者の捜索を続けている。　The police are continuing their search for the missing person.
