うなずく|Nod
抱える|かかえる　　to hold, to carry, or to have (problems, responsibilities, etc.).　わきに抱える　carry under one's arm
ぶら下げる|ぶらさげる To hang; to suspend; to dangle; to swing; to carry　ぶら下げる　木の枝にランプをぶら下げた。　 I hung a lantern from the tree branch.
突っ込む|つっこむ　to thrust something into something；　to plunge into; to go into deeply　彼は手をポケットに突っ込んだ。　He put)thrust) his hand into his pocket.
木をまたい|またぐ　to straddle, to step over. 彼は倒れた木を跨いで進んだ　He stepped over the fallen tree and moved forward.
石につまずいて|つまずく　to stumble, to trip. 彼は石につまずいて転んだ He stumbled over a stone and fell.
壁にもたれる|lean against the wall
擦れ違う|すれちがう　To pass by each other, to narrowly miss each other　駅で友達と擦れ違った　I passed by my friend at the station.
悔やむ|くやむ　to mourn; to lament　to be sorry; to regret; to repent　彼は失敗を悔やんでいる。　彼は失敗を悔やんでいる。
情けない|なさけない　miserable; pitiable; shameful; deplorable　彼は情けない失敗をした。 He made a pathetic mistake.
やむを得ない|やむをえない　= 仕方がないcannot be helped; unavoidable
疑問に思う|question; problem; doubt; guess　彼の話が本当かどうか疑問に思う　 I wonder if his story is true.
あきれる|To be amazed, to be shocked, to be astonished  彼の無責任な態度に呆れた  I was shocked by his irresponsible attitude.
あわてる|To panic, to be flustered, to be in a hurry　突然の地震で人々は慌てた。People panicked due to the sudden earthquake.
ためらう|To hesitate, to waver　彼は決断をためらった。He hesitated to make a decision.
やっつける|to beat,　to defeat, to finish off.彼は敵をやっつけた。　He defeated the enemy.
わびる|彼は遅刻をわびた　 He apologized for being late.
威張る|to be arrogant, to act superior、 To boast, to act superior 彼は成功した後で威張り始めた。  He started to boast after he succeeded.
もめる|To quarrel, to dispute, to have a conflict 彼らはお金のことでもめている。　They are quarreling about money.
態度を取る|たいどをとる To take an attitude(bad), to adopt a stance 彼は冷たい態度を取った He took a cold attitude.
